Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Magic Number,The method contains a magic number: 1234,320
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Magic Number,The method contains a magic number: 1000,320
vert.x,io.vertx.core.datagram,DatagramTest,testOptions,Magic Number,The method contains a magic number: 123,381
vert.x,io.vertx.core.datagram,DatagramTest,testOptions,Magic Number,The method contains a magic number: 123,381
vert.x,io.vertx.core.datagram,DatagramTest,testOptions,Magic Number,The method contains a magic number: 23,381
vert.x,io.vertx.core.datagram,DatagramTest,testOptions,Magic Number,The method contains a magic number: 2,381
vert.x,io.vertx.core.datagram,DatagramTest,testOptions,Magic Number,The method contains a magic number: 256,381
vert.x,io.vertx.core.datagram,DatagramTest,testOptions,Magic Number,The method contains a magic number: 100,381
vert.x,io.vertx.core.datagram,DatagramTest,testCopyOptions,Magic Number,The method contains a magic number: 100,436
vert.x,io.vertx.core.datagram,DatagramTest,testCopyOptionsJson,Long Statement,The length of the statement "JsonObject json=new JsonObject().put("broadcast"`broadcast).put("loopbackModeDisabled"`loopbackModeDisabled).put("multicastTimeToLive"`multicastTimeToLive).put("multicastNetworkInterface"`multicastNetworkInterface).put("reuseAddress"`reuseAddress).put("ipV6"`ipV6);" is 265.,473
vert.x,io.vertx.core.datagram,DatagramTest,testCopyOptionsJson,Magic Number,The method contains a magic number: 100,473
vert.x,io.vertx.core.datagram,DatagramTest,testOptionsCopied,Magic Number,The method contains a magic number: 1234,498
vert.x,io.vertx.core.datagram,DatagramTest,testOptionsCopied,Magic Number,The method contains a magic number: 1234,498
vert.x,io.vertx.core.datagram,DatagramTest,testLogging,Magic Number,The method contains a magic number: 1234,533
vert.x,io.vertx.core.datagram,DatagramTest,testLogging,Magic Number,The method contains a magic number: 128,533
vert.x,io.vertx.core.datagram,DatagramTest,testLogging,Magic Number,The method contains a magic number: 1234,533
vert.x,io.vertx.core.datagram,DatagramTest,testWorker,Magic Number,The method contains a magic number: 2,550
vert.x,io.vertx.core.datagram,DatagramTest,testWorker,Magic Number,The method contains a magic number: 128,550
vert.x,io.vertx.core.datagram,DatagramTest,testWorker,Magic Number,The method contains a magic number: 1234,550
vert.x,io.vertx.core.datagram,DatagramTest,testWorker,Magic Number,The method contains a magic number: 1234,550
vert.x,io.vertx.core.datagram,DatagramTest,start,Magic Number,The method contains a magic number: 1234,555
vert.x,io.vertx.core,DeploymentOptionsConverter,fromJson,Complex Method,Cyclomatic complexity of the method is 18,20
vert.x,io.vertx.core,VertxOptionsConverter,fromJson,Complex Method,Cyclomatic complexity of the method is 46,20
vert.x,io.vertx.core,VertxOptionsConverter,fromJson,Long Method,The method has 116 lines of code.,20
vert.x,io.vertx.core,VertxOptionsConverter,fromJson,Long Statement,The length of the statement "obj.setAddressResolverOptions(new io.vertx.core.dns.AddressResolverOptions((io.vertx.core.json.JsonObject)member.getValue()));" is 126.,20
vert.x,io.vertx.core,VertxOptionsConverter,toJson,Complex Method,Cyclomatic complexity of the method is 12,141
vert.x,io.vertx.core,Future,join,Long Parameter List,The method has 5 parameters. ,147
vert.x,io.vertx.core,Future,join,Long Parameter List,The method has 6 parameters. ,154
vert.x,io.vertx.core,VertxOptions,VertxOptions,Long Identifier,The length of the field blockedThreadCheckIntervalUnit is 30.,153
vert.x,io.vertx.core,VertxOptions,VertxOptions,Long Statement,The length of the statement "this.fileSystemOptions=other.getFileSystemOptions() != null ? new FileSystemOptions(other.getFileSystemOptions()) : null;" is 121.,153
vert.x,io.vertx.core,VertxOptions,VertxOptions,Long Statement,The length of the statement "this.addressResolverOptions=other.addressResolverOptions != null ? new AddressResolverOptions(other.getAddressResolverOptions()) : null;" is 136.,153
vert.x,io.vertx.core,VertxOptions,getBlockedThreadCheckIntervalUnit,Long Identifier,The length of the field blockedThreadCheckIntervalUnit is 30.,623
vert.x,io.vertx.core,VertxOptions,setBlockedThreadCheckIntervalUnit,Long Identifier,The length of the parameter blockedThreadCheckIntervalUnit is 30.,630
vert.x,io.vertx.core,VertxOptions,setBlockedThreadCheckIntervalUnit,Long Identifier,The length of the field blockedThreadCheckIntervalUnit is 30.,630
vert.x,io.vertx.core,VertxOptions,toString,Long Identifier,The length of the field blockedThreadCheckIntervalUnit is 30.,716
vert.x,io.vertx.core,VertxOptions,toString,Long Statement,The length of the statement "return "VertxOptions{" + "eventLoopPoolSize=" + eventLoopPoolSize + "` workerPoolSize="+ workerPoolSize+ "` internalBlockingPoolSize="+ internalBlockingPoolSize+ "` blockedThreadCheckIntervalUnit="+ blockedThreadCheckIntervalUnit+ "` blockedThreadCheckInterval="+ blockedThreadCheckInterval+ "` maxEventLoopExecuteTimeUnit="+ maxEventLoopExecuteTimeUnit+ "` maxEventLoopExecuteTime="+ maxEventLoopExecuteTime+ "` maxWorkerExecuteTimeUnit="+ maxWorkerExecuteTimeUnit+ "` maxWorkerExecuteTime="+ maxWorkerExecuteTime+ "` clusterManager="+ clusterManager+ "` haEnabled="+ haEnabled+ "` preferNativeTransport="+ preferNativeTransport+ "` quorumSize="+ quorumSize+ "` haGroup='"+ haGroup+ '\''+ "` metrics="+ metricsOptions+ "` tracing="+ tracingOptions+ "` fileSystemOptions="+ fileSystemOptions+ "` addressResolver="+ addressResolverOptions.toJson()+ "` eventbus="+ eventBusOptions.toJson()+ "` warningExceptionTimeUnit="+ warningExceptionTimeUnit+ "` warningExceptionTime="+ warningExceptionTime+ "` disableTCCL="+ disableTCCL+ "` useDaemonThread="+ useDaemonThread+ '}';" is 1069.,716
vert.x,io.vertx.core,AccessEventBusFromInitVerticleFactoryTest,testLoadFactoryThatCheckEventBusAndSharedDataForNull,Magic Number,The method contains a magic number: 2,9
vert.x,io.vertx.core,BlockedThreadCheckerTest,expectMessage,Long Statement,The length of the statement "if (event.thread().getName().startsWith(poolName) && event.maxExecTime() == maxExecuteTimeUnit.toNanos(maxExecuteTime)) {" is 121.,34
vert.x,io.vertx.core,BlockedThreadCheckerTest,testBlockCheckDefault,Long Statement,The length of the statement "expectMessage("vert.x-eventloop-thread"`VertxOptions.DEFAULT_MAX_EVENT_LOOP_EXECUTE_TIME`VertxOptions.DEFAULT_MAX_EVENT_LOOP_EXECUTE_TIME_UNIT);" is 144.,54
vert.x,io.vertx.core,BlockedThreadCheckerTest,testBlockCheckDefault,Magic Number,The method contains a magic number: 6000,54
vert.x,io.vertx.core,BlockedThreadCheckerTest,start,Magic Number,The method contains a magic number: 6000,57
vert.x,io.vertx.core,BlockedThreadCheckerTest,testBlockCheckExceptionTimeLimit,Magic Number,The method contains a magic number: 3000,69
vert.x,io.vertx.core,BlockedThreadCheckerTest,start,Magic Number,The method contains a magic number: 3000,72
vert.x,io.vertx.core,BlockedThreadCheckerTest,testBlockCheckWorker,Magic Number,The method contains a magic number: 3000,97
vert.x,io.vertx.core,BlockedThreadCheckerTest,start,Magic Number,The method contains a magic number: 3000,100
vert.x,io.vertx.core,BlockedThreadCheckerTest,testBlockCheckExecuteBlocking,Magic Number,The method contains a magic number: 3000,127
vert.x,io.vertx.core,BlockedThreadCheckerTest,start,Magic Number,The method contains a magic number: 3000,130
vert.x,io.vertx.core,BlockedThreadCheckerTest,testNamedWorkerPoolMaxExecuteWorkerTime,Long Statement,The length of the statement "DeploymentOptions deploymentOptions=new DeploymentOptions().setWorkerPoolName(poolName).setMaxWorkerExecuteTime(maxWorkerExecuteTime);" is 134.,162
vert.x,io.vertx.core,BlockedThreadCheckerTest,testNamedWorkerPoolMaxExecuteWorkerTime,Magic Number,The method contains a magic number: 10,162
vert.x,io.vertx.core,BlockedThreadCheckerTest,testNamedWorkerPoolMaxExecuteWorkerTime,Magic Number,The method contains a magic number: 3,162
vert.x,io.vertx.core,BlockedThreadCheckerTest,testNamedWorkerPoolMaxExecuteWorkerTime,Magic Number,The method contains a magic number: 5,162
vert.x,io.vertx.core,BlockedThreadCheckerTest,start,Magic Number,The method contains a magic number: 5,171
vert.x,io.vertx.core,BlockedThreadCheckerTest,testCustomThreadBlockedHandler,Magic Number,The method contains a magic number: 2,185
vert.x,io.vertx.core,BlockedThreadCheckerTest,testCustomThreadBlockedHandler,Magic Number,The method contains a magic number: 3000,185
vert.x,io.vertx.core,BlockedThreadCheckerTest,testCustomThreadBlockedHandler,Magic Number,The method contains a magic number: 1000,185
vert.x,io.vertx.core,BlockedThreadCheckerTest,testCustomThreadBlockedHandler,Magic Number,The method contains a magic number: 2,185
vert.x,io.vertx.core,BlockedThreadCheckerTest,start,Magic Number,The method contains a magic number: 3000,190
vert.x,io.vertx.core,ClasspathVerticleFactoryTest,testLoadedFromClasspath,Magic Number,The method contains a magic number: 2,23
vert.x,io.vertx.core,ComplexHATest,testComplexFailover,Magic Number,The method contains a magic number: 10,63
vert.x,io.vertx.core,ComplexHATest,testComplexFailover,Magic Number,The method contains a magic number: 8,63
vert.x,io.vertx.core,ComplexHATest,testComplexFailover,Magic Number,The method contains a magic number: 2,63
vert.x,io.vertx.core,ComplexHATest,deployRandomVerticles,Magic Number,The method contains a magic number: 100,81
vert.x,io.vertx.core,ComplexHATest,deployRandomVerticles,Magic Number,The method contains a magic number: 3,81
vert.x,io.vertx.core,ComplexHATest,eventLoopWaitUntil,Magic Number,The method contains a magic number: 10000,136
vert.x,io.vertx.core,ComplexHATest,checkHasDeployments,Long Statement,The length of the statement "if (curr.verticleIdentifier().equals(prev.verticleIdentifier()) && curr.deploymentOptions().toJson().equals(prev.deploymentOptions().toJson())) {" is 145.,223
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentAllSuccess,Magic Number,The method contains a magic number: 100,54
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentAllFailure,Magic Number,The method contains a magic number: 100,62
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentAllMixed,Magic Number,The method contains a magic number: 100,70
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentAnySuccess,Magic Number,The method contains a magic number: 100,78
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentAnyFailure,Magic Number,The method contains a magic number: 100,86
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentAnyMixed,Magic Number,The method contains a magic number: 100,94
vert.x,io.vertx.core,CompositeFutureTest,tesConcurrenttJoinSuccess,Magic Number,The method contains a magic number: 100,102
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentJoinFailure,Magic Number,The method contains a magic number: 100,110
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentJoinMixed,Magic Number,The method contains a magic number: 100,118
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentCompletion,Long Statement,The length of the statement "List<Promise<String>> promises=IntStream.range(0`NUM_THREADS).mapToObj(i -> Promise.<String>promise()).collect(Collectors.toList());" is 132.,126
vert.x,io.vertx.core,CompositeFutureTest,testConcurrentCompletion,Magic Number,The method contains a magic number: 30,126
vert.x,io.vertx.core,CompositeFutureTest,testAllSucceeded,Magic Number,The method contains a magic number: 3,168
vert.x,io.vertx.core,CompositeFutureTest,testAllSucceeded,Magic Number,The method contains a magic number: 3,168
vert.x,io.vertx.core,CompositeFutureTest,testAllLargeList,Magic Number,The method contains a magic number: 63,219
vert.x,io.vertx.core,CompositeFutureTest,testAllLargeList,Magic Number,The method contains a magic number: 64,219
vert.x,io.vertx.core,CompositeFutureTest,testAllLargeList,Magic Number,The method contains a magic number: 65,219
vert.x,io.vertx.core,CompositeFutureTest,testAllLargeList,Magic Number,The method contains a magic number: 100,219
vert.x,io.vertx.core,CompositeFutureTest,testAnySucceeded1,Magic Number,The method contains a magic number: 3,264
vert.x,io.vertx.core,CompositeFutureTest,testAnySucceeded2,Magic Number,The method contains a magic number: 3,296
vert.x,io.vertx.core,CompositeFutureTest,testAnyLargeList,Magic Number,The method contains a magic number: 63,333
vert.x,io.vertx.core,CompositeFutureTest,testAnyLargeList,Magic Number,The method contains a magic number: 64,333
vert.x,io.vertx.core,CompositeFutureTest,testAnyLargeList,Magic Number,The method contains a magic number: 65,333
vert.x,io.vertx.core,CompositeFutureTest,testAnyLargeList,Magic Number,The method contains a magic number: 100,333
vert.x,io.vertx.core,CompositeFutureTest,testJoinFailed2,Magic Number,The method contains a magic number: 10,426
vert.x,io.vertx.core,CompositeFutureTest,testCompositeFutureToList,Magic Number,The method contains a magic number: 4,473
vert.x,io.vertx.core,CompositeFutureTest,testCompositeFutureToList,Magic Number,The method contains a magic number: 4,473
vert.x,io.vertx.core,CompositeFutureTest,testCompositeFutureCauses,Magic Number,The method contains a magic number: 2,487
vert.x,io.vertx.core,CompositeFutureTest,testCompositeFutureMulti,Magic Number,The method contains a magic number: 2,498
vert.x,io.vertx.core,CompositeFutureTest,testCompositeFutureMulti,Magic Number,The method contains a magic number: 4,498
vert.x,io.vertx.core,CompositeFutureTest,testCompositeFutureMulti,Magic Number,The method contains a magic number: 2,498
vert.x,io.vertx.core,CompositeFutureTest,testIndexOutOfBounds,Magic Number,The method contains a magic number: 2,522
vert.x,io.vertx.core,CompositeFutureTest,testIndexOutOfBounds,Magic Number,The method contains a magic number: 2,522
vert.x,io.vertx.core,CompositeFutureTest,testIndexOutOfBounds,Magic Number,The method contains a magic number: 3,522
vert.x,io.vertx.core,CompositeFutureTest,testToString,Long Statement,The length of the statement "assertEquals("Future{result=(Future{result=null}`Future{result=null})}"`Future.all(Future.succeededFuture()`Future.succeededFuture()).toString());" is 146.,531
vert.x,io.vertx.core,CompositeFutureTest,testToString,Long Statement,The length of the statement "assertEquals("Future{result=(Future{result=true}`Future{result=false})}"`Future.all(Future.succeededFuture(true)`Future.succeededFuture(false)).toString());" is 156.,531
vert.x,io.vertx.core,ContextTaskTest,setUp,Magic Number,The method contains a magic number: 2,47
vert.x,io.vertx.core,ContextTaskTest,setUp,Magic Number,The method contains a magic number: 10,47
vert.x,io.vertx.core,ContextTaskTest,createWorkerContext,Long Statement,The length of the statement "return ((VertxInternal)vertx).createWorkerContext(null`null`new WorkerPool(workerExecutor`null)`Thread.currentThread().getContextClassLoader());" is 144.,63
vert.x,io.vertx.core,ContextTaskTest,testOpFromSameContext,Magic Number,The method contains a magic number: 2,89
vert.x,io.vertx.core,ContextTaskTest,testOpFromSameEventLoop,Magic Number,The method contains a magic number: 2,132
vert.x,io.vertx.core,ContextTaskTest,testOpFromAnotherEventLoop,Magic Number,The method contains a magic number: 2,177
vert.x,io.vertx.core,ContextTaskTest,testOpFromSameSchedule,Magic Number,The method contains a magic number: 2,217
vert.x,io.vertx.core,ContextTest,createWorkerContext,Long Statement,The length of the statement "return ((VertxInternal)vertx).createWorkerContext(null`new CloseFuture()`new WorkerPool(workerExecutor`null)`Thread.currentThread().getContextClassLoader());" is 157.,42
vert.x,io.vertx.core,ContextTest,setUp,Magic Number,The method contains a magic number: 2,46
vert.x,io.vertx.core,ContextTest,setUp,Magic Number,The method contains a magic number: 10,46
vert.x,io.vertx.core,ContextTest,testRunOnContext,Magic Number,The method contains a magic number: 10,58
vert.x,io.vertx.core,ContextTest,testExecuteOrderedBlocking,Magic Number,The method contains a magic number: 2,124
vert.x,io.vertx.core,ContextTest,testExecuteOrderedBlocking,Magic Number,The method contains a magic number: 3,124
vert.x,io.vertx.core,ContextTest,testExecuteUnorderedBlocking,Magic Number,The method contains a magic number: 2,138
vert.x,io.vertx.core,ContextTest,testExecuteUnorderedBlocking,Magic Number,The method contains a magic number: 3,138
vert.x,io.vertx.core,ContextTest,testExecuteBlockingThreadAsyncComplete,Magic Number,The method contains a magic number: 200,166
vert.x,io.vertx.core,ContextTest,testExecuteBlockingThreadAsyncComplete,Magic Number,The method contains a magic number: 20,166
vert.x,io.vertx.core,ContextTest,testVerticleUseDifferentOrderedExecutor,Magic Number,The method contains a magic number: 2,296
vert.x,io.vertx.core,ContextTest,testInternalExecuteBlockingWithQueue,Magic Number,The method contains a magic number: 2,328
vert.x,io.vertx.core,ContextTest,testInternalExecuteBlockingWithQueue,Magic Number,The method contains a magic number: 2,341
vert.x,io.vertx.core,ContextTest,testInternalExecuteBlockingWithQueue,Magic Number,The method contains a magic number: 3,341
vert.x,io.vertx.core,ContextTest,testInternalExecuteBlockingWithQueue,Magic Number,The method contains a magic number: 10,341
vert.x,io.vertx.core,ContextTest,testInternalExecuteBlockingWithQueue,Magic Number,The method contains a magic number: 20,341
vert.x,io.vertx.core,ContextTest,checkDuplicate,Magic Number,The method contains a magic number: 10,438
vert.x,io.vertx.core,ContextTest,testDuplicateWorkerConcurrency,Magic Number,The method contains a magic number: 200,497
vert.x,io.vertx.core,ContextTest,testDuplicateExecuteBlocking,Magic Number,The method contains a magic number: 2,563
vert.x,io.vertx.core,ContextTest,testDuplicateExecuteBlocking,Magic Number,The method contains a magic number: 2,563
vert.x,io.vertx.core,ContextTest,testDuplicateExecuteBlocking,Magic Number,The method contains a magic number: 2000,563
vert.x,io.vertx.core,ContextTest,testDuplicateExecuteBlocking,Magic Number,The method contains a magic number: 500,563
vert.x,io.vertx.core,ContextTest,testReentrantDispatch,Magic Number,The method contains a magic number: 2,590
vert.x,io.vertx.core,ContextTest,testSucceededFutureContextPropagation2,Magic Number,The method contains a magic number: 100,841
vert.x,io.vertx.core,ContextTest,testDispatchContextOnAnyThread,Magic Number,The method contains a magic number: 2,962
vert.x,io.vertx.core,ContextTest,testDispatchContextOnAnyThread,Magic Number,The method contains a magic number: 2,962
vert.x,io.vertx.core,ContextTest,testDispatchContextOnAnyThread,Magic Number,The method contains a magic number: 2,962
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 4,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 4,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 2,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 3,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 8,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 4,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 1234567,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 4,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 2,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonObject,Magic Number,The method contains a magic number: 3,38
vert.x,io.vertx.core,ConversionHelperTest,testToJsonArray,Magic Number,The method contains a magic number: 4,61
vert.x,io.vertx.core,ConversionHelperTest,testToJsonArray,Magic Number,The method contains a magic number: 4,61
